domainID,siteID,plotID,trapID,nlcdClass,decimalLatitude,decimalLongitude,elevation,MDS1,MDS2
D03,OSBS,OSBS_005,E,woodyWetlands,29.696567,-82.025373,30.2,3.889770194,-7.676545619
D03,OSBS,OSBS_008,W,evergreenForest,29.685054,-82.007366,45.2,1.751468796,-1.58194414
D03,OSBS,OSBS_001,W,woodyWetlands,29.702918,-82.009095,29.1,-0.495565978,-0.061011043
D03,OSBS,OSBS_008,S,evergreenForest,29.684875,-82.007157,45.2,-1.648334255,-2.566636621
D03,OSBS,OSBS_006,W,evergreenForest,29.686607,-81.983207,33,80.56393916,67.55761589
D03,OSBS,OSBS_022,W,emergentHerbaceousWetlands,29.689478,-81.9609,24,1.752040043,0.915616449
D03,OSBS,OSBS_005,N,woodyWetlands,29.696745,-82.025581,30.2,1.282087907,1.526741229
D03,OSBS,OSBS_007,N,evergreenForest,29.690459,-81.962574,34.3,0.115216109,2.245579015
D09,WOOD,WOOD_004,S,grasslandHerbaceous,47.12566,-99.2538,0,0.124982162,-5.54745554
D09,WOOD,WOOD_007,W,grasslandHerbaceous,47.134755,-99.250158,0,0.111933919,-5.557705292
D09,WOOD,WOOD_006,N,grasslandHerbaceous,47.142498,-99.247173,0,0.357160126,-5.846858152
D09,WOOD,WOOD_005,E,grasslandHerbaceous,47.14934,-99.251664,0,0.48957427,-5.996094984
D09,WOOD,WOOD_001,E,grasslandHerbaceous,47.128258,-99.257504,0,0.124271072,-5.547994946
D10,CPER,CPER_010,E,grasslandHerbaceous,40.850009,-104.681161,0,-0.117199001,-2.015198259
